#Good  SNR  Sigma  LineFlux  Cont  SBR  EW_Obs  Score
1  5.776670  2.853833  0.000000  0.000000  5.776670  19.870182  3.329380
1  6.477104  2.423770  0.000000  0.000000  6.477104  32.720485  3.785685
1  7.785347  2.439556  0.000000  0.000000  7.785347  18.912099  4.633118
1  4.292799  3.294232  0.000000  0.000000  4.292799  20.421154  2.590809
1  4.906161  2.980352  0.000000  0.000000  4.906161  20.340489  3.882584
1  4.455517  4.640363  0.000000  0.000000  4.455517  20.378594  3.702893
1  4.790201  2.232601  0.000000  0.000000  4.790201  11.343358  3.199700
1  6.725839  2.389176  0.000000  0.000000  6.725839  12.922168  5.092387
1  5.417885  3.381064  0.000000  0.000000  5.417885  25.543433  3.759832
1  9.520743  2.099014  0.000000  0.000000  9.520743  17.590588  5.638553
1  6.890560  2.346524  0.000000  0.000000  6.890560  23.309547  4.340278
1  4.624549  2.283173  0.000000  0.000000  4.624549  21.755291  2.301585
1  7.571805  1.921246  0.000000  0.000000  7.571805  32.188250  6.937484
1  4.740640  4.275204  0.000000  0.000000  4.740640  25.517905  3.092197
1  10.838470  1.637553  0.000000  0.000000  10.838470  25.064493  4.752920
1  4.615377  4.359869  0.000000  0.000000  4.615377  28.027797  5.494477
1  4.443381  3.728817  0.000000  0.000000  4.443381  25.418347  2.203523
1  5.817181  3.241581  0.000000  0.000000  5.817181  32.645557  3.807447
1  3.678039  2.301287  0.000000  0.000000  3.678039  14.261891  2.386141
1  5.797584  6.156792  0.000000  0.000000  5.797584  54.710903  4.725760
1  7.322713  3.551517  0.000000  0.000000  7.322713  38.972285  4.749035
1  9.248604  2.191001  0.000000  0.000000  9.248604  15.263399  6.178822
1  4.115950  3.018749  0.000000  0.000000  4.115950  23.274232  2.917174
1  4.438031  2.587004  0.000000  0.000000  4.438031  17.550036  2.183741
1  6.279692  7.615031  0.000000  0.000000  6.279692  41.226205  6.729598
1  7.334053  5.442117  0.000000  0.000000  7.334053  38.022117  7.031030
1  6.235724  2.858011  0.000000  0.000000  6.235724  40.698196  5.547274
1  7.724432  5.565953  0.000000  0.000000  7.724432  87.630562  7.334328
1  5.629755  3.587313  0.000000  0.000000  5.629755  31.301810  4.624447
1  4.579210  3.482215  0.000000  0.000000  4.579210  18.525275  3.021827
1  5.492615  3.077789  0.000000  0.000000  5.492615  26.913038  2.742469
1  7.159183  1.995445  0.000000  0.000000  7.159183  20.771621  4.427525
1  4.750663  2.075674  0.000000  0.000000  4.750663  16.005377  2.755604
1  5.973489  2.200160  0.000000  0.000000  5.973489  15.708924  2.628482
1  4.281213  2.487317  0.000000  0.000000  4.281213  13.627550  2.522674
1  7.951391  2.672046  0.000000  0.000000  7.951391  39.501316  5.798836
1  4.651282  4.760010  0.000000  0.000000  4.651282  20.696315  2.667217
1  5.271245  3.832206  0.000000  0.000000  5.271245  28.687844  4.159057
1  4.953536  2.618207  0.000000  0.000000  4.953536  20.094408  2.355850
1  8.574191  2.317120  0.000000  0.000000  8.574191  20.257305  4.141195
1  6.295597  5.176629  0.000000  0.000000  6.295597  39.924884  4.830067
1  6.285941  2.594411  0.000000  0.000000  6.285941  19.868247  3.480606
1  10.278386  2.752295  0.000000  0.000000  10.278386  61.601430  11.730819
1  3.990572  2.404625  0.000000  0.000000  3.990572  18.587028  2.345535
1  3.573704  3.001282  0.000000  0.000000  3.573704  16.463020  2.280323
1  4.380782  3.865322  0.000000  0.000000  4.380782  21.153638  2.738580
1  6.973471  2.262656  0.000000  0.000000  6.973471  15.736600  2.845772
1  7.872701  1.618677  0.000000  0.000000  7.872701  15.922032  2.925528
1  4.400967  3.649727  0.000000  0.000000  4.400967  27.441493  3.474660
1  4.441883  4.628569  0.000000  0.000000  4.441883  29.452232  4.726340
1  4.425389  2.562999  0.000000  0.000000  4.425389  13.372227  2.034174
1  5.718360  2.168582  0.000000  0.000000  5.718360  19.295376  3.429740
